Código;Job;PID;Node;Cenário;Data Início;Data Fim;Total (s)
352498;JOB_NASA_VA;61208;N2;SD_J3GH_IE02;22/12/2025 12:05;22/12/2025 12:07;00:01:47
352497;JOB_NASA_VA;61220;N2;SD_J4GL_VA22_VA41;22/12/2025 12:03;22/12/2025 12:05;00:02:24
352496;JOB_NASA_VA;61084;N2;newvisionapp;22/12/2025 12:02;22/12/2025 12:07;00:04:40
352495;JOB_NASA_VA;61476;N2;SD_J3GH_IE02;22/12/2025 12:01;22/12/2025 12:03;00:01:16
352494;JOB_NASA_VA;30296;N2;newvisionapp;22/12/2025 11:59;22/12/2025 11:59;00:00:38
352493;JOB_NASA_VA;63848;N2;SD_J4GL_VA22_VA41;22/12/2025 11:58;22/12/2025 12:01;00:03:20
352492;JOB_NASA_VA;62756;N2;newvisionapp;22/12/2025 11:57;22/12/2025 12:03;00:05:10
352491;JOB_NASA_CME_NF;3124;N1;newvisionapp;22/12/2025 11:47;22/12/2025 11:47;00:00:09
352490;JOB_NASA_CME_NF;2896;N1;SD_NF;22/12/2025 11:44;22/12/2025 11:47;00:02:47
352489;JOB_NASA_CME_NF;6944;N1;newvisionapp;22/12/2025 11:44;22/12/2025 11:47;00:02:59
352488;JOB_NASA_CME_NF;2800;N1;SD_NF;22/12/2025 11:42;22/12/2025 11:44;00:01:36
352487;JOB_NASA_CME_NF;5440;N1;newvisionapp;22/12/2025 11:42;22/12/2025 11:44;00:01:44
352486;JOB_NASA_VA;64068;N2;SD_J3GH_IE02;22/12/2025 11:41;22/12/2025 11:42;00:01:31
352485;JOB_NASA_VA;60756;N2;SD_J4GL_VA22_VA41;22/12/2025 11:39;22/12/2025 11:40;00:01:43
352484;JOB_NASA_VA;61232;N2;newvisionapp;22/12/2025 11:38;22/12/2025 11:42;00:03:40
352483;JOB_NASA_CME_NF;2536;N1;SD_NF;22/12/2025 11:32;22/12/2025 11:33;00:01:31
352482;JOB_NASA_CME_NF;4340;N1;newvisionapp;22/12/2025 11:32;22/12/2025 11:33;00:01:53
352481;JOB_NASA_VA;61544;N2;SD_J3GH_IE02;22/12/2025 11:30;22/12/2025 11:31;00:01:12
352480;JOB_NASA_VA;60984;N2;SD_J4GL_VA22_VA41;22/12/2025 11:28;22/12/2025 11:30;00:02:20
352479;JOB_NASA_VA;58712;N2;newvisionapp;22/12/2025 11:27;22/12/2025 11:31;00:04:00
352478;JOB_NASA_VA;59916;N2;SD_J3GH_IE02;22/12/2025 11:27;22/12/2025 11:28;00:01:48
352477;JOB_NASA_VA;60256;N2;SD_J4GL_VA22_VA41;22/12/2025 11:25;22/12/2025 11:26;00:01:42
352476;JOB_NASA_VA;59832;N2;newvisionapp;22/12/2025 11:24;22/12/2025 11:28;00:04:00
352475;JOB_NASA_CME_NF;2224;N1;SD_NF;22/12/2025 11:22;22/12/2025 11:23;00:01:26
352474;JOB_NASA_CME_NF;3212;N1;newvisionapp;22/12/2025 11:22;22/12/2025 11:23;00:01:33
